norad_cat_id,sat_id,name,names,image,status,decayed,launched,deployed,website,operator,countries,telemetries,updated,citation,associated_satellites
965,SCHX-0895-2361-9925-0309,TRANSIT 5B-5,OPS 6582,satellites/transit-o__1.jpg,alive,,1964-12-13,,,None,US,[],2021-07-21T10:11:41.946142Z,CITATION NEEDED - https://xkcd.com/285/,[]
1002,AMOM-6643-5608-9156-4431,LES-1,,satellites/LES1-Star13A-Kick-Motor.jpg,alive,,1965-02-11,,,None,US,[],2021-07-21T10:11:41.948894Z,CITATION NEEDED - https://xkcd.com/285/,[]
1291,KEFJ-8497-6394-9368-1937,SOLRAD-7B,,,alive,,1965-03-09,,,None,US,[],2021-07-21T10:11:41.950759Z,CITATION NEEDED - https://xkcd.com/285/,[]
1315,FBFQ-2056-7966-4855-0749,SECOR 4,EGRS 4,,alive,,1965-04-03,,,None,US,[],2021-07-21T10:11:41.952551Z,CITATION NEEDED - https://xkcd.com/285/,[]
1804,BIRW-7828-0822-0647-1194,ALOUETTE-2,,,alive,,1965-11-29,,,None,CA,[],2021-07-21T10:11:41.954331Z,CITATION NEEDED - https://xkcd.com/285/,[]
2012,HUET-0202-9646-3392-6736,Unknown Satellite,,,re-entered,1966-02-22,1966-02-15,,,None,US,[],2021-07-21T10:11:41.956104Z,CITATION NEEDED - https://xkcd.com/285/,[]
2389,ECVY-8071-9282-9701-5212,OV3-3,,,alive,,1966-08-04,,,None,US,[],2021-07-21T10:11:41.957880Z,CITATION NEEDED - https://xkcd.com/285/,[]
2412,FERZ-6681-3950-9303-3194,ERS-15,,,alive,,1966-08-19,,,None,US,[],2021-07-21T10:11:41.959650Z,CITATION NEEDED - https://xkcd.com/285/,[]
2768,GVZR-7911-0022-1623-4621,ERS 20 (OV5-3),,satellites/ers-20.jpg,alive,,1967-04-28,,,None,US,[],2021-07-21T10:11:41.961447Z,CITATION NEEDED - https://xkcd.com/285/,[]
3669,PCWN-4534-3390-1366-2242,ISIS-1,,,alive,,1969-01-30,,,None,CA,[],2021-07-21T10:11:41.963221Z,CITATION NEEDED - https://xkcd.com/285/,[]
4237,CXUY-3779-8771-9506-4176,OPS 7613 (P/L 4),,,alive,,1969-09-30,,,None,US,[],2021-07-21T10:11:41.964965Z,CITATION NEEDED - https://xkcd.com/285/,[]
4256,TRRF-3160-5167-1401-6829,OPS 7613 (P/L 1),,,alive,,1969-09-30,,,None,US,[],2021-07-21T10:11:41.966725Z,CITATION NEEDED - https://xkcd.com/285/,[]
5485,RKRU-2930-8927-7743-2506,SHINSEI (MS-F2),,,alive,,1971-09-28,,,None,JPN,[],2021-07-21T10:11:41.968438Z,CITATION NEEDED - https://xkcd.com/285/,[]
5580,MDNJ-2178-8370-7421-2425,PROSPERO,"BLACK ARROW
X-3",satellites/prospero.JPG,alive,,1971-10-28,,,None,UK,[],2021-07-21T10:11:41.970160Z,CITATION NEEDED - https://xkcd.com/285/,[]
5680,JLIH-4238-8564-8762-0468,OPS 7898 (P/L 2),,,alive,,1971-12-14,,,None,US,[],2021-07-21T10:11:41.971868Z,CITATION NEEDED - https://xkcd.com/285/,[]
7530,HHSS-6325-1344-4603-7774,OSCAR 7,AO-7 AMSAT OSCAR 7,satellites/AMSAT-OSCAR_7.jpg,alive,,1974-11-15,,https://www.amsat.org/two-way-satellites/ao-7/,None,US,[],2021-10-14T08:49:11.693800Z,https://www.amsat.org/two-way-satellites/ao-7/,[]
14129,WAGS-8572-2494-3083-1675,Phase 3-B,"AO-10
OSCAR-10",satellites/AO-10.jpg,alive,,1983-06-16,,,None,GER,[],2021-07-21T10:11:41.975296Z,CITATION NEEDED - https://xkcd.com/285/,[]
14781,TDVY-5283-4801-7631-6209,UOSAT 2,"UO-11
OSCAR-11",satellites/UoSat-2.jpg,alive,,1984-03-01,,,None,UK,[],2021-07-21T10:11:41.977018Z,CITATION NEEDED - https://xkcd.com/285/,[]
15427,RQTU-0962-4589-7454-8433,NOAA 9,NOAA-F,satellites/Noaa-9-full.jpg,alive,,1984-12-12,,,None,US,[],2021-07-21T10:11:41.978735Z,CITATION NEEDED - https://xkcd.com/285/,[]
18351,XWJC-7674-8051-0421-7789,EUTE 1-F4 (ECS 4),,,alive,,1987-09-16,,,None,EUTE,[],2021-07-21T10:11:41.980415Z,CITATION NEEDED - https://xkcd.com/285/,[]
20442,ZDPY-4221-9426-0630-5344,LUSAT,LO-19,satellites/LUSAT-1.gif,alive,,1990-01-22,,,None,ARGN,[],2021-07-21T10:11:41.982120Z,CITATION NEEDED - https://xkcd.com/285/,[]
22825,XTDR-0995-4168-5549-5936,EYESAT-1,AO-27,satellites/AO-27-PreFlight.jpg,alive,,1993-09-26,,,None,US,[],2021-07-21T10:11:41.983833Z,CITATION NEEDED - https://xkcd.com/285/,[]
22826,NRSU-5773-9133-8545-6426,ITAMSAT,IO-26,satellites/itamsat_1.jpg,alive,,1993-09-26,,,None,IT,[],2021-07-21T10:11:41.985554Z,CITATION NEEDED - https://xkcd.com/285/,[]
23439,DBOZ-6429-8624-3701-8847,RADIO ROSTO,RS-15,satellites/radio-rosto__1.jpg,alive,,1994-12-26,,,None,CIS,[],2021-07-21T10:11:41.987219Z,CITATION NEEDED - https://xkcd.com/285/,[]
24278,XTKP-9404-9174-4088-2406,JAS-2,FO-29,satellites/fo29.gif,alive,,1996-08-17,,,None,JPN,[],2021-07-21T10:11:41.988989Z,CITATION NEEDED - https://xkcd.com/285/,[]
