sat_id,norad_cat_id,name,names,image,status,decayed,launched,deployed,website,operator,countries,telemetries,updated,citation,associated_satellites
SCHX-0895-2361-9925-0309,965.0,TRANSIT 5B-5,OPS 6582,satellites/transit-o__1.jpg,alive,,,,,None,,[],2021-07-21T10:11:41.946142Z,CITATION NEEDED - https://xkcd.com/285/,[]
AMOM-6643-5608-9156-4431,1002.0,LES-1,,satellites/LES1-Star13A-Kick-Motor.jpg,alive,,,,,None,,[],2021-07-21T10:11:41.948894Z,CITATION NEEDED - https://xkcd.com/285/,[]
KEFJ-8497-6394-9368-1937,1291.0,SOLRAD-7B,,,alive,,,,,None,,[],2021-07-21T10:11:41.950759Z,CITATION NEEDED - https://xkcd.com/285/,[]
FBFQ-2056-7966-4855-0749,1315.0,SECOR 4,EGRS 4,,alive,,,,,None,,[],2021-07-21T10:11:41.952551Z,CITATION NEEDED - https://xkcd.com/285/,[]
BIRW-7828-0822-0647-1194,1804.0,ALOUETTE-2,,,alive,,,,,None,,[],2021-07-21T10:11:41.954331Z,CITATION NEEDED - https://xkcd.com/285/,[]
HUET-0202-9646-3392-6736,2012.0,Unknown Satellite,,,re-entered,1966-02-22T00:00:00Z,,,,None,,[],2021-07-21T10:11:41.956104Z,CITATION NEEDED - https://xkcd.com/285/,[]
ECVY-8071-9282-9701-5212,2389.0,OV3-3,,,alive,,,,,None,,[],2021-07-21T10:11:41.957880Z,CITATION NEEDED - https://xkcd.com/285/,[]
FERZ-6681-3950-9303-3194,2412.0,ERS-15,,,alive,,,,,None,,[],2021-07-21T10:11:41.959650Z,CITATION NEEDED - https://xkcd.com/285/,[]
GVZR-7911-0022-1623-4621,2768.0,ERS 20 (OV5-3),,satellites/ers-20.jpg,alive,,,,,None,,[],2021-07-21T10:11:41.961447Z,CITATION NEEDED - https://xkcd.com/285/,[]
PCWN-4534-3390-1366-2242,3669.0,ISIS-1,,,alive,,,,,None,,[],2021-07-21T10:11:41.963221Z,CITATION NEEDED - https://xkcd.com/285/,[]
CXUY-3779-8771-9506-4176,4237.0,OPS 7613 (P/L 4),,,alive,,,,,None,,[],2021-07-21T10:11:41.964965Z,CITATION NEEDED - https://xkcd.com/285/,[]
TRRF-3160-5167-1401-6829,4256.0,OPS 7613 (P/L 1),,,alive,,,,,None,,[],2021-07-21T10:11:41.966725Z,CITATION NEEDED - https://xkcd.com/285/,[]
RKRU-2930-8927-7743-2506,5485.0,SHINSEI (MS-F2),,,alive,,,,,None,,[],2021-07-21T10:11:41.968438Z,CITATION NEEDED - https://xkcd.com/285/,[]
MDNJ-2178-8370-7421-2425,5580.0,PROSPERO,"BLACK ARROW
X-3",satellites/prospero.JPG,alive,,,,,None,GB,[],2021-07-21T10:11:41.970160Z,CITATION NEEDED - https://xkcd.com/285/,[]
JLIH-4238-8564-8762-0468,5680.0,OPS 7898 (P/L 2),,,alive,,,,,None,,[],2021-07-21T10:11:41.971868Z,CITATION NEEDED - https://xkcd.com/285/,[]
HHSS-6325-1344-4603-7774,7530.0,OSCAR 7,AO-7 AMSAT OSCAR 7,satellites/AMSAT-OSCAR_7.jpg,alive,,1974-11-15T00:00:00Z,,https://www.amsat.org/two-way-satellites/ao-7/,None,US,[],2021-10-14T08:49:11.693800Z,https://www.amsat.org/two-way-satellites/ao-7/,[]
WAGS-8572-2494-3083-1675,14129.0,Phase 3-B,"AO-10
OSCAR-10",satellites/AO-10.jpg,alive,,,,,None,,[],2021-07-21T10:11:41.975296Z,CITATION NEEDED - https://xkcd.com/285/,[]
TDVY-5283-4801-7631-6209,14781.0,UOSAT 2,"UO-11
OSCAR-11",satellites/UoSat-2.jpg,alive,,,,,None,,[],2021-07-21T10:11:41.977018Z,CITATION NEEDED - https://xkcd.com/285/,[]
RQTU-0962-4589-7454-8433,15427.0,NOAA 9,NOAA-F,satellites/Noaa-9-full.jpg,alive,,,,,None,,[],2021-07-21T10:11:41.978735Z,CITATION NEEDED - https://xkcd.com/285/,[]
XWJC-7674-8051-0421-7789,18351.0,EUTE 1-F4 (ECS 4),,,alive,,,,,None,,[],2021-07-21T10:11:41.980415Z,CITATION NEEDED - https://xkcd.com/285/,[]
ZDPY-4221-9426-0630-5344,20442.0,LUSAT,LO-19,satellites/LUSAT-1.gif,alive,,,,,None,,[],2021-07-21T10:11:41.982120Z,CITATION NEEDED - https://xkcd.com/285/,[]
XTDR-0995-4168-5549-5936,22825.0,EYESAT-1,AO-27,satellites/AO-27-PreFlight.jpg,alive,,,,,None,,[],2021-07-21T10:11:41.983833Z,CITATION NEEDED - https://xkcd.com/285/,[]
NRSU-5773-9133-8545-6426,22826.0,ITAMSAT,IO-26,satellites/itamsat_1.jpg,alive,,,,,None,,[],2021-07-21T10:11:41.985554Z,CITATION NEEDED - https://xkcd.com/285/,[]
DBOZ-6429-8624-3701-8847,23439.0,RADIO ROSTO,RS-15,satellites/radio-rosto__1.jpg,alive,,,,,None,,[],2021-07-21T10:11:41.987219Z,CITATION NEEDED - https://xkcd.com/285/,[]
XTKP-9404-9174-4088-2406,24278.0,JAS-2,FO-29,satellites/fo29.gif,alive,,,,,None,,[],2021-07-21T10:11:41.988989Z,CITATION NEEDED - https://xkcd.com/285/,[]
FSYV-6957-0977-9643-9047,25338.0,NOAA 15,,satellites/satellite_NOAA-15.jpg,alive,,,,,None,,[],2021-07-21T10:11:41.991644Z,CITATION NEEDED - https://xkcd.com/285/,[]
FCHF-0545-3706-3789-8061,25397.0,TECHSAT 1B,"GO-32
TechSat/Gurwin-II",satellites/gurwinIIb.gif,alive,,,,,None,,[],2021-07-21T10:11:41.995698Z,CITATION NEEDED - https://xkcd.com/285/,[]
XSKZ-5603-1870-9019-3066,25544.0,ISS,ZARYA,satellites/ISS.jpg,alive,,1998-11-20T00:00:00Z,,https://www.nasa.gov/mission_pages/station/main/index.html,None,"RU,US",[{'decoder': 'iss'}],2021-07-21T10:11:41.999811Z,CITATION NEEDED - https://xkcd.com/285/,[]
JOHL-3592-8966-6147-0629,25635.0,ORSTED,Ørsted,satellites/4355e5156bc2ef829b9c7e128608e6ddce046507.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.001583Z,CITATION NEEDED - https://xkcd.com/285/,[]
OWKZ-4946-7098-5844-2196,26063.0,OPAL,OO-38,satellites/opal__1.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.003238Z,CITATION NEEDED - https://xkcd.com/285/,[]
TCAK-2702-2188-8416-9781,26410.0,Cluster II FM6,SALSA,,alive,,,,https://sci.esa.int/web/cluster,ESA,,[],2021-07-21T10:11:42.004868Z,CITATION NEEDED - https://xkcd.com/285/,[]
GREM-3318-1554-0741-5298,26411.0,Cluster II FM7,SAMBA,,alive,,,,https://sci.esa.int/web/cluster,ESA,,[],2021-07-21T10:11:42.006489Z,CITATION NEEDED - https://xkcd.com/285/,[]
IEJM-1287-6683-2809-7287,26463.0,Cluster II FM5,RUMBA,,alive,,,,https://sci.esa.int/web/cluster,ESA,,[],2021-07-21T10:11:42.008110Z,CITATION NEEDED - https://xkcd.com/285/,[]
UDLI-4112-3637-4438-0859,26464.0,Cluster II FM8,TANGO,,alive,,,,https://sci.esa.int/web/cluster,ESA,,[],2021-07-21T10:11:42.009728Z,CITATION NEEDED - https://xkcd.com/285/,[]
YVEB-4204-8164-6334-8450,26546.0,MegSat-1,,,alive,,,,,None,,[],2021-07-21T10:11:42.011324Z,CITATION NEEDED - https://xkcd.com/285/,[]
VMIE-3340-5003-6094-2811,26609.0,Phase 3-D,OSCAR-40,satellites/AO-40.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.012930Z,CITATION NEEDED - https://xkcd.com/285/,[]
MIOI-0494-0446-3367-1916,26931.0,PCSAT,NO-44,satellites/no44.gif,alive,,,,,None,,[{'decoder': 'ax25monitor'}],2021-07-21T10:11:42.014540Z,CITATION NEEDED - https://xkcd.com/285/,[]
IRES-5964-9687-1982-0089,27607.0,SAUDISAT 1C,SO-50,satellites/saudisat-so-50.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.016147Z,CITATION NEEDED - https://xkcd.com/285/,[]
JOVH-8612-8312-2052-1559,27844.0,CUTE-1,CO-55,satellites/cute-1__1.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.017854Z,CITATION NEEDED - https://xkcd.com/285/,[]
KZUI-4275-4790-4963-1514,27848.0,CUBESAT XI-IV,CO-57,satellites/xi-4__1.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.020325Z,CITATION NEEDED - https://xkcd.com/285/,[]
JQJE-9408-3483-0314-4576,27939.0,MOZHAYETS 4,RS-22,satellites/zeya__1.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.023802Z,CITATION NEEDED - https://xkcd.com/285/,[]
AWRD-0316-6644-2878-7013,28628.0,INMARSAT 4-F1,Alphasat1,satellites/inmarsat-4__1.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.027220Z,CITATION NEEDED - https://xkcd.com/285/,[]
MNUP-5257-9728-2566-4220,28650.0,HAMSAT,VO-52,satellites/hamsat.jpg,dead,,,,,None,,[],2021-07-21T10:11:42.030628Z,CITATION NEEDED - https://xkcd.com/285/,[]
SWSC-0362-2710-3817-5254,28654.0,NOAA 18,,satellites/NOAA-18_or_19_rendering.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.033911Z,CITATION NEEDED - https://xkcd.com/285/,[]
IYDL-1832-4040-0556-1587,28895.0,CUBESAT XI 5,"CO-58, OSCAR 58",satellites/XI-V-Sai-Five-300x225.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.037231Z,CITATION NEEDED - https://xkcd.com/285/,[]
GVNJ-7390-8100-5940-4823,29499.0,METOP-A,,satellites/metopa.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.040337Z,CITATION NEEDED - https://xkcd.com/285/,[]
CASG-2405-5488-8993-2476,29710.0,CARTOSAT-2,IRS-P7,satellites/CartoSat2_AutoB.jpeg,alive,,,,,None,,[],2021-07-21T10:11:42.043445Z,CITATION NEEDED - https://xkcd.com/285/,[]
